episode,step,ego_speed,rel_speed,distance,ttc,brake_flag,brake_value
0,60,15.028997421267334,11.692200096446175,13.298324638124258,1.1373671788397004,1,0.755886587305939
0,61,15.275369644167737,11.77053212618905,12.13693367160896,1.0311287154643314,1,0.8393523431325605
0,62,15.52174186706821,11.849252877748887,10.972047554120005,0.9259695668006089,1,0.9409257336205049
0,63,15.768114089968604,11.928665019797979,9.805618130965465,0.8220214177102888,1,1.0
0,64,16.014488220217704,12.009096686827025,8.640749601743329,0.7195170317199218,1,1.0
0,65,16.260879516604447,12.090923197774911,7.482583908722184,0.6188596012336925,1,1.0
5,61,14.863788604744874,11.955230248713246,33.687050019221644,2.817766727901156,0,0.3119708381091864
5,62,15.103523254403216,12.057928962809987,32.63697128500791,2.7066813368754636,0,0.3275643909968047
5,63,15.343257904061577,12.157246428534036,31.599970422348143,2.599270369989414,0,0.3439100406366421
5,64,15.582992553719905,12.253732494813125,30.58020708546292,2.495583047729106,0,0.3610417786278676
6,63,14.44118785858605,7.694971693670566,13.274868123639552,1.7251354068733848,1,0.3279781632950893
6,64,14.666827201847473,7.777626777014669,12.503711850164796,1.607651306580716,1,0.35572659288639163
6,65,14.892466545109544,7.864868995743119,11.724189946628153,1.4907037806953811,1,0.3879370256870889
6,66,15.118105888371119,7.95745176042894,10.935829389464574,1.3742878648472117,1,0.4257526840313134
6,67,15.343745231633262,8.05613801522779,10.138080861517869,1.2584293916458198,1,0.47071619058441616
6,68,15.569384574894638,8.161681170303009,9.330326381597159,1.143186824737331,1,0.5249567283994429
6,69,15.795023918156652,8.274777412417778,8.511871674943427,1.028652645347275,1,0.5914917133310283
6,70,16.020664215092573,8.396028515129798,7.681938544184878,0.9149490774527366,1,0.6747425109121241
6,71,16.246303558354594,8.525890339147505,6.839710645833475,0.8022283156080765,1,0.7814529719419361
6,72,16.471942901616103,8.664649942755972,5.984306787677782,0.690657652324538,1,0.9224637000598448
6,73,11.423191125405003,-0.088159506774522,5.114845779485687,inf,1,0.0
7,62,14.657411575321174,10.918239654132375,13.116169980654279,1.201308122568094,1,0.6682812878666218
7,63,14.890069961551621,10.925849520494134,12.072497668348879,1.1049481915071155,1,0.7270669289714423
7,64,15.12272834778217,10.933587147434633,11.04984537868376,1.010633127964449,1,0.7954817719544389
7,65,15.355386734012718,10.941497607674673,10.05738400379545,0.9191962896140395,1,0.8752449199452984
7,66,15.588045120243297,10.949638027187941,9.108440549827653,0.8318485530947602,1,0.9678690191625162
7,67,15.820703506473725,10.958105521962104,8.222365321110669,0.7503455140700647,1,1.0
7,68,16.053361892704313,10.967050972636642,7.4270658652063775,0.6772163167416009,1,1.0
7,69,16.286020278934824,10.65027475237012,11.517474688003809,1.0814251233697705,1,0.7241448536298764
7,70,16.518678665165346,10.77544692686946,10.614223923508675,0.9850379288715383,1,0.8043469706209119
7,71,16.7513370513959,10.896986492720966,9.799257506690136,0.8992630681185025,1,0.8910062419155544
7,72,16.983995437626415,10.924101433607845,9.10819565184124,0.833770695667472,1,0.9633856846313508
7,73,17.21665382385692,10.912537258756501,8.579107475007543,0.7861698220662153,1,1.0
7,74,17.44931221008748,16.717022309833244,7.441683033013865,0.44515601493434254,1,1.0
7,75,17.68197059631799,17.66100059190987,6.374282973748273,0.3609242262676894,1,1.0
9,62,14.649379730228413,8.578344661124648,27.31301996398465,3.1839499394051893,0,0.19810632982666693
9,63,14.881904602054613,9.031629899681466,26.446129007631804,2.9281679277584796,0,0.22679383497942715
9,64,15.114429473880762,9.336683621878231,25.532128477157407,2.734603582082306,0,0.25104949728293274
9,65,15.346954345707072,9.585853586491961,24.58381897004588,2.564593622073313,0,0.2748358139125096
9,66,15.579479217533303,10.611362448303186,23.58702642673559,2.2228084792737697,0,0.35101865325830633
9,67,15.812004089359498,11.595037863350525,22.497006842223055,1.9402271133008853,1,0.43942088410009816
9,68,16.044532775882967,11.912858709488056,21.32977621780369,1.7904834379354708,1,0.4892228963339225
9,69,16.27707672119568,12.079314065490028,20.135171040706464,1.666913446536803,1,0.5328320193240519
9,70,16.509620666508123,12.103428044934375,18.927932063753005,1.5638488528607295,1,0.5690818155811411
9,71,16.742164611820687,12.114503894947061,17.718061876323162,1.4625495216286435,1,0.6090544846814918
9,72,16.974708557133205,12.134904502974916,16.506932542891946,1.360285327243013,1,0.6559450227497917
9,73,17.207252502445755,12.163257980786419,15.293456880690396,1.2573487222624538,1,0.7113040230082688
9,74,17.439796447758347,12.1935990358179,14.076665848507545,1.1544307638096234,1,0.7766495770085273
9,75,17.67234039307089,12.225931922104255,12.8563100082513,1.0515607391046677,1,0.8548869780675473
9,76,17.9048843383835,12.263845121874384,11.632202372527917,0.9484955376499464,1,0.9507196206943928
9,77,18.137428283696128,12.309730733948438,10.403866168747342,0.8451741466655318,1,1.0
9,78,18.369972229008596,12.36569560664848,9.170515459622594,0.7416093482595528,1,1.0
9,79,18.602516174321146,12.434379181237485,7.93112392351206,0.6378383518720027,1,1.0
9,80,18.835060119633674,12.518635743566115,6.684553493859611,0.533968207941117,1,1.0
9,81,19.06760406494628,12.620728561107118,5.429336984690357,0.430192041481802,1,1.0
9,82,11.835710434505952,-1.5261919481466002,4.450385939640653,inf,1,0.0
10,60,15.039181709313588,8.2464980924383,13.080467295960482,1.5861844808955614,1,0.3822759339527807
10,61,15.285725593591314,8.343496476095217,12.253860580630063,1.4686721107557665,1,0.41771909703690063
10,62,15.532269477869043,8.44590215117173,11.417438652418992,1.3518317461012748,1,0.4593931299431078
10,63,15.778813362146826,8.554621112495354,10.57064837867585,1.2356652901010161,1,0.5090506816941462
10,64,16.025358200098868,8.670550774306832,9.71284507451716,1.1202108524984278,1,0.5691254433831611
10,65,16.27190208437661,8.794566615240967,8.843277244211643,1.0055387185181202,1,0.6430973746065013
10,66,16.51844596865432,8.927432534728979,7.961124728078053,0.8917597189458614,1,0.7361050840283253
10,67,16.764989852932057,9.069758891657425,7.065494888343209,0.779016837464358,1,0.8560714018993119
10,68,17.01153373720982,9.221965306842728,6.155445496342469,0.6674765401443343,1,1.0
10,69,17.258077621487665,9.384204372312057,5.2299656622610815,0.557315831450987,1,1.0
11,60,15.02428817749297,15.020535093734864,35.236022949228904,2.345856704128072,0,0.47080928169649555
11,61,15.270584106448013,15.267670523377832,33.72869873048009,2.20915814752714,0,0.5081677080737469
11,62,15.51688003540306,15.513126951644999,32.19660568238572,2.0754426739846683,0,0.5496037610114632
11,63,15.763175964358314,15.760262381288273,30.640022277846214,1.9441314831296381,1,0.5960722472782854
11,64,16.00947189331338,16.005718809555287,29.058673858658516,1.8155182034880382,1,0.6482397624418216
11,65,16.255786895754845,16.2528733126848,27.452831268328488,1.6891063346259219,1,0.7075127182165624
11,66,16.502101898196294,16.498348814438238,25.822219848653088,1.5651396475540165,1,0.7750834791709594
11,67,16.74841690063773,16.74550331756769,24.167114257835507,1.44320023110215,1,0.8531643649366436
11,68,16.994731903079188,16.990978819321132,22.48723983767271,1.3234811294156612,1,0.9439777040439272
11,69,17.241046905520665,17.238133322450587,20.78287506106524,1.2056337349472785,1,1.0
11,70,17.4873619079621,17.483608824204016,19.053733825718357,1.0898055439984842,1,1.0
11,71,17.73367691040351,17.730763327333428,17.300109863321772,0.9757115102118719,1,1.0
11,72,17.979991912845005,17.97623882908677,15.521705627489146,0.8634567984474024,1,1.0
11,73,18.226306915286436,18.223393332216386,13.718811035213317,0.7528131992278516,1,1.0
11,74,18.462072372436705,18.45831928867841,11.89148712165045,0.6442345554692084,1,1.0
12,62,14.626218795783041,6.436045646674053,27.84040451052931,4.325700288486357,0,0.10940162723486659
12,63,14.192249764327087,5.965627182845127,27.192832946811208,4.558252152432094,0,0.09623185442430973
14,62,14.745213508626517,11.953781346052779,18.869923946595687,1.5785736245566067,1,0.5568029878784131
14,63,14.979264259359278,12.135552259382944,17.79000046207219,1.4659407402178461,1,0.6087012896167086
14,64,15.213315010091964,12.311371408443444,16.72463105540047,1.3584701899197276,1,0.6663730307789503
18,62,14.752390861516329,12.76377945151273,11.96284972479182,0.9372497989515177,1,1.0
18,63,14.986556053166863,13.040855217140578,10.716607597374143,0.8217718407983319,1,1.0
18,64,15.220721244817325,13.20778419083131,9.464711645238642,0.7166010216769695,1,1.0
18,65,15.454886436467788,13.32613805853235,8.221093771885345,0.6169149483350587,1,1.0
18,66,15.689051628118257,13.431044892404158,7.002199747430634,0.521344378157107,1,1.0
18,67,15.923216819768745,14.590726398540463,5.80855600560817,0.3980991656583466,1,1.0
18,68,8.986225677184041,2.991997827959466,5.309192086784255,1.7744638840213025,1,0.12398101887121649
20,62,14.630103111273717,7.574405670172639,43.83439254761222,5.787172546121777,0,0.09623725385003018
20,63,14.862322807318762,7.664871215827063,43.075115203863504,5.619809386349301,0,0.10028693733295949
20,64,15.094542503363837,7.76262283325859,42.30664443970481,5.450045087653106,0,0.10472960893000025
20,65,15.326762199408913,7.868585586554563,41.528236389169365,5.277725702079253,0,0.10962533906823946
20,66,15.558981895453911,7.98359870911345,40.73904800416147,5.102842651354328,0,0.11503966650642772
20,67,15.791201591498877,8.108339309699561,39.93815231324558,4.925565000156045,0,0.1210422397860879
20,68,16.023424148566676,8.24327754974955,39.124576568619,4.746240355549801,0,0.12770599544912375
20,69,16.255662918098185,8.388636589056958,38.29730224611181,4.565378633289579,0,0.13510632161013203
20,70,16.48790168762962,11.172413892206396,27.101672488587624,2.4257669604858707,0,0.3386562002317079
20,71,16.720140457160973,11.300319509589977,25.938653632336546,2.2953911710481987,0,0.36198877854616146
20,72,16.952379226692262,11.422770030956421,24.767050072382535,2.1682175168774545,0,0.3873732937594415
20,73,17.184617996223615,11.541699099255869,23.58765705870857,2.043690175585096,0,0.41525587179111206
20,74,17.416856765755018,11.659292445313808,22.400914767094783,1.9212928119062946,1,0.44621044214806327
20,75,17.649095535286367,11.778177311842716,21.206847570726254,1.8005203189973378,1,0.480995654568606
20,76,17.881334304817685,11.901225682442522,20.005024805093466,1.6809213890134196,1,0.52060145669431
20,77,18.113573074349027,12.031004095486441,18.794669537124445,1.56218628037667,1,0.5662785963442115
20,78,18.34581184388043,12.16942532474417,17.57469416357282,1.4441679614762155,1,0.6196029198212418
20,79,18.57805061341178,12.317724440368465,16.343770798510054,1.32684984776467,1,0.6826055215711732
20,80,18.81028938294313,12.47649246650898,15.100459009609525,1.2103128383353043,1,0.7579768824157814
20,81,19.042528152474496,12.645685455483399,13.843258145414714,1.094702077965416,1,0.8493907444035805
20,82,19.27476692200585,12.824716413804424,12.570711906837877,0.9801941424066782,1,0.9620480404431593
20,83,19.507005691537135,13.012628695998686,11.281496561278868,0.8669652246934447,1,1.0
20,84,19.73924446106853,13.20826290290434,9.974416873076763,0.7551649256529795,1,1.0
20,85,19.97148323059994,13.410436294100961,8.64846325443833,0.6449054351977088,1,1.0
20,86,20.203722000131325,13.617997889973072,7.302802097417073,0.5362610683611667,1,1.0
20,87,20.43596076966259,13.829902600707337,5.936788474535256,0.42927189337050115,1,1.0
20,88,13.688054324420612,0.6901163794683409,4.549988768048827,6.593074593525943,1,0.007696538346665073
21,94,22.14001464844517,13.81606292724804,47.28472900416966,3.4224459785077204,0,0.2968306837636816
21,95,22.37305450440235,14.047328948981129,45.89849090604135,3.267417675825868,0,0.31611870197244807
21,96,22.336700439463492,14.009525299081512,44.49559021025804,3.1760954964816146,0,0.32433286577351245
21,97,22.30034637452433,13.972007751467657,43.095405578929096,3.084410368610212,0,0.33307938580177887
21,98,22.263992309579532,13.934700012206678,41.698951721517794,2.992454210351846,0,0.34239798606466415
21,99,22.227638244636882,17.79611751440435,5.381271382248021,0.30238457224686044,1,1.0
21,100,22.191284179692214,17.74716090932274,3.7203869070094964,0.20963279287421935,1,1.0
22,62,14.643037796024247,10.784379952779743,51.2410266693683,4.7514114760172745,0,0.16689127392512493
22,63,14.875467300418872,12.363669380774954,50.316115410404365,4.06967493717068,0,0.22338229732267215
22,64,15.107896804813448,12.824566440333982,49.30881892639982,3.8448721955481333,0,0.24525726175944115
22,65,15.3403263092081,13.106465650955023,48.29589453881855,3.684890787876089,0,0.2615303315907805
22,66,15.572755813602635,13.222576025294776,47.289386604505346,3.5764125321753335,0,0.2718501370876986
22,67,15.80518531799716,13.282976802147846,46.29874471484943,3.4855699444843538,0,0.28020940227915986
22,68,16.037614822391706,13.335483339614159,45.32903880554542,3.3991297991345957,0,0.2884709627180194
22,69,16.270044326786405,13.384278744096127,44.38375374049611,3.316110982825579,0,0.2967747907247918
22,70,16.502473831180968,13.427336499264651,43.46636723110678,3.237154832120817,0,0.3049913289784981
22,71,16.73490333557556,11.5769765570146,35.49134403526047,3.065683329362529,0,0.2776699954943096
22,72,16.96733283997014,11.710591446186237,34.6212548060351,2.956405316087611,0,0.2912567149603086
22,73,17.19976234436474,11.849725405623138,33.78235777814601,2.8508979425054877,0,0.30562417744180015
22,74,17.432191848759324,11.99498302760706,32.979762179411736,2.7494630132870674,0,0.3207841101645295
23,102,14.040647742911094,-1.1258218007517016,4.427157899391738,inf,1,0.0
24,64,14.18650054932003,11.982893226156138,39.62187898370017,3.306536930264382,0,0.2664706636402484
24,65,14.404758453372832,12.150440271149824,38.64834362778609,3.1808183708003783,0,0.28087574380898495
24,66,14.623016357425614,13.478096455381865,37.660179849086155,2.7941764605823307,0,0.35467928316368946
24,67,14.8412742614784,13.50129811277707,36.618000195568,2.7121836648369566,0,0.3660307084520806
25,22,5.1717171669021385,4.957365521906977,39.11096984312245,7.889466627039721,0,0.04620238451597661
25,23,5.396574497224578,5.164254764765075,38.595817273124,7.47364702772942,0,0.050808475921777674
25,24,5.621431827546806,5.381712229518228,38.06035274103683,7.072164232840075,0,0.05595375354631523
25,25,5.846289157869225,5.600075620696229,37.50289988517009,6.696855975760474,0,0.06148710196517323
25,26,6.0711464881914585,6.011017687909711,36.91767696096588,6.1416683293447,0,0.0719652333857635
25,27,6.296003818513911,6.235657626232257,36.30262048490277,5.821778978400669,0,0.07875672349019994
25,28,6.520861148836122,6.442229512467368,35.66491538079607,5.536113749405435,0,0.08556423656501407
25,29,6.745718479158586,6.6218859178061145,35.0037448438302,5.28606884478421,0,0.09211067630905016
25,30,6.970575809480802,6.77533303977612,34.31833011018734,5.065187188395588,0,0.09835495400171312
25,31,7.195433139803255,6.945719867895101,33.60987866631622,4.838933804639847,0,0.10554281517119637
25,32,7.420290470125452,7.055827726221444,32.877710421063874,4.659653225217084,0,0.11134108852016442
25,33,7.645147800447911,7.133219719371479,32.1229375420273,4.503287267990914,0,0.11647079538583048
25,34,7.870005130770121,7.401638876524654,31.346159265167657,4.235029537118656,0,0.128508702930066
25,35,8.094861984255427,7.6867722388433855,30.556715908954434,3.9752336819013445,0,0.1421812870183495
25,36,8.319719314577622,7.908021766251652,29.763482899632027,3.7637077614847936,0,0.1544945106114142
25,37,8.544576644900088,7.780356660709236,28.924190354186987,3.717591829723438,0,0.1538859226038595
25,38,8.76943397522228,8.274058762816443,28.05540843309683,3.3907673654890655,0,0.1794244807026898
25,39,8.99429130554478,8.542432722969307,27.189554646099207,3.1828819175819336,0,0.19734318439205462
25,40,9.219148635866942,8.667547065481312,26.29860324606769,3.0341459985608186,0,0.21004910029709917
25,41,9.444005966189454,8.685776966608268,25.381175981423663,2.922153778412621,0,0.21855799506248838
25,42,9.668863296511605,8.759150475743624,24.441286824774835,2.7903718394220016,0,0.2308133894346433
25,43,9.893720626834122,8.878787505194499,23.479527678962366,2.64445203415734,0,0.24687610665958046
25,44,10.11857795715627,9.063443838598356,22.495989781163804,2.4820576131735335,0,0.26849888192663457
27,62,14.745522499104991,8.835276350548835,10.872787191668518,1.2306108785146392,1,0.527910718308139
27,63,14.979573249837706,8.930154902356161,10.033408785451572,1.12354252475557,1,0.5844274003610186
27,64,15.213624000570451,9.02633173006243,9.215748795561721,1.0209849439577356,1,0.6500594023765202
27,65,15.447674751303248,9.124077165531485,8.434264707630074,0.924396468225044,1,0.725757886294723
27,66,15.68172550203599,9.223703871454706,7.709713588510325,0.8358587500158324,1,0.8113972844658963
27,67,15.915776252768765,9.325567943534029,7.07126329771669,0.7582662354221136,1,0.904304442460287
27,68,16.149839401267556,7.988982767373246,9.855890808143334,1.2336853257957299,1,0.4761548112801263
27,69,16.383909225486743,8.188474578977042,9.205525623946341,1.12420519049793,1,0.535572797680957
27,70,16.617979049705994,8.394975444789427,8.65046414877417,1.0304335260615107,1,0.59904650869994
27,71,16.85204887392491,8.607259741344643,8.227843113160446,0.9559189986608997,1,0.6620715213043012
29,63,14.652119636535645,14.647446399501822,12.749150537574833,0.8704009005971476,1,1.0
30,61,14.74977779389922,13.12035977841631,20.081752777192566,1.530579428944328,1,0.6303053068690815
30,62,14.987681388870302,13.374907374395198,18.764575958359387,1.4029686661069611,1,0.7009772173855011
30,63,15.225584983841397,13.593301177038393,17.422859192019228,1.281723914235761,1,0.7798149261216539
30,64,15.463488578812123,13.797459006322411,16.05950927748933,1.1639468738504952,1,0.8716197168229532
30,65,15.701392173783134,13.989769816413126,14.675956726245264,1.0490491922910046,1,0.9805636884177175
30,66,15.939295768754112,14.17169034482543,13.273384094440853,0.9366126249920088,1,1.0
30,67,16.177185058610362,14.344100236905996,11.852806091551532,0.8263192459472221,1,1.0
30,68,16.41506958009497,14.507536172877709,10.41515350371457,0.7179133230896936,1,1.0
30,69,16.65295410157936,14.662310361877593,8.961330414187453,0.6111813345246843,1,1.0
30,70,16.89083862306405,14.808580160157986,7.4921951298646325,0.505936088999413,1,1.0
30,71,17.128723144549,14.94641947747488,6.008613587049724,0.4020102336954381,1,1.0
30,72,9.265289329406778,-0.4516658641335205,4.5114135751061895,inf,1,0.0
31,61,14.713121414191274,8.927151551543929,54.64921720204096,6.121685835230333,0,0.10722670518989624
31,62,14.950433731085877,9.187643490246106,53.741273549842575,5.849298964081052,0,0.11549452771863217
31,63,15.187746047980585,9.382212606538282,52.79911099866456,5.627575627722386,0,0.12258717068354602
31,64,15.425058364875165,9.441100898940501,51.82858144523544,5.489675621521188,0,0.12645530325851362
31,65,15.662370681769838,9.494633687458592,50.843014530095346,5.354921127421019,0,0.1303725700804895
31,66,15.899682998664405,9.607402251926942,49.849388886586425,5.188643878899544,0,0.13614860696913433
31,67,16.136995315559062,9.767277025364168,48.844951245977406,5.000877022238063,0,0.1436112367939299
31,68,16.374307632453757,9.956969543410244,47.8254868282749,4.803217145514614,0,0.15242494588647365
31,83,19.93399238587319,14.991955990545282,9.699049321682889,0.6469502263613648,1,1.0
31,84,20.171304702767962,15.162696518448753,8.176946949189816,0.539280525679635,1,1.0
31,85,20.40861701966264,15.246627621855414,6.6344353646794865,0.4351411688686681,1,1.0
31,86,20.645929336557323,15.328826154209791,5.086801136538036,0.331845445004348,1,1.0
33,62,14.544258117677131,7.638128197736106,32.34156025750521,4.234225901980939,0,0.13263984642392307
33,63,14.775123596192573,7.725026677048504,31.691353992494165,4.102426479205695,0,0.13845870737944718
33,64,15.005989074708381,7.81797949235563,31.064750485140163,3.973501147644999,0,0.1446712639310912
33,65,15.236854553223953,7.917865199516618,30.466386050869836,3.84780307357718,0,0.15130607243146763
33,66,15.467720031739741,8.025536798630853,29.901420110508045,3.7257844379467793,0,0.15838624314629682
33,67,15.698585510255176,8.141763843793075,29.375486459476335,3.60800030841854,0,0.16592545869921502
33,68,15.929450988770974,8.267175319180343,28.89468154417973,3.4951093243592326,0,0.1739231828711022
35,63,14.593250274663298,14.590176961116967,49.947456359863324,3.423361929946019,0,0.31337823795651404
35,64,14.821273803716071,14.817680633937824,48.48348236083989,3.2720021141362206,0,0.3329873584199532
35,65,15.049297332768917,15.046224017305251,46.99684524536144,3.1234976424190237,0,0.3541990831840772
35,66,15.277320861821742,15.273727693557035,45.487266540527465,2.97813784906716,0,0.37710417370818633
35,67,15.50534439087454,15.502271074398557,43.955024719238516,2.835392602044526,0,0.4020158874279382
35,68,15.733367919927327,15.729774752486685,42.39984130859399,2.6955148421239215,0,0.42908355267312437
35,69,15.961391448980168,15.958318131361038,40.82199478149454,2.5580386633145125,0,0.4587130608231727
35,70,16.189399719243912,16.185806552939273,39.22120666503948,2.4231851861541664,0,0.4911439874984564
35,71,16.417404174810386,16.414330856141824,37.59775543212954,2.290544510260156,0,0.5269210386251293
35,72,16.64540863037698,16.641815465332712,35.95137023925847,2.160303382413435,0,0.5664310447431947
35,73,16.8734130859434,16.870339765635556,34.282318115235334,2.032105967721381,0,0.6104337957477949
35,74,17.101417541509914,17.09782437806075,32.59033203125101,1.9061098833761347,1,0.6595595458265466
35,75,17.329421997076345,17.326348675328003,30.87567901611468,1.7820072535005809,1,0.7149220204488038
35,76,17.557426452642837,17.553833290560544,29.138092041017106,1.659927581554846,1,0.7775779199123942
35,77,17.785430908209314,17.782357585120742,27.377838134767636,1.5396067705710654,1,0.8492599006554129
35,78,18.013435363775773,18.00984220292862,25.594650268556837,1.4211479467818344,1,0.9318193127993923
35,79,18.241439819342215,18.238366495097022,23.788787841799742,1.3043266702747105,1,1.0
35,80,18.46944427490882,18.465851115428908,21.960006713870296,1.1892225587978391,1,1.0
35,81,18.697448730475227,18.69437540463921,20.108543396000215,1.0756467098125173,1,1.0
35,82,18.925453186041732,18.92186002807464,18.234153747563138,0.9636554609593802,1,1.0
35,83,19.15345764160823,19.150384314436472,16.337097167974807,0.8530950031984019,1,1.0
35,84,19.381462097174747,19.377868940418374,14.41710662842483,0.7439985621098726,1,1.0
35,85,19.609466552741225,19.606393224248624,12.474456787118708,0.6362443435894501,1,1.0
38,63,14.418611526489322,11.81862060902521,46.19436663018065,3.9086089788604124,0,0.22233388552088484
38,64,14.64390754699712,11.997031718334433,45.00893798500427,3.751672833891026,0,0.2351310266723734
38,65,14.86920356750495,12.173185008933771,43.80572140835756,3.5985423187283367,0,0.24873603079542064
38,66,15.094499588012749,12.34709717246125,42.58492670865855,3.4489828753951355,0,0.2632297187003944
38,67,15.319795608520577,12.518734828153518,41.34679039720417,3.302793050957428,0,0.2787020542160907
